vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
9,34,16210,-23.70391676910317,-46.566332140061476,52.024,8
9,7,439,-23.685733850901705,-46.56158498222641,53.513,8
9,45,15941,-23.68270112738766,-46.575831652086144,55.35,8
9,15,13432,-23.674106999999943,-46.591230499999966,57.98,8
9,72,14056,-23.655730584185093,-46.57497322009348,58.822,8
9,17,13187,-23.65421623147612,-46.56687347668647,59.577,8
9,50,16177,-23.661003174851423,-46.566641060072826,59.876,8
9,18,1372,-23.662471729817007,-46.56417705642268,61.258,8
9,37,9548,-23.672225430873283,-46.55577577291884,62.144,8
9,47,16689,-23.66666607132555,-46.5495367479803,63.532,8
9,29,7998,-23.673745717019944,-46.538310096716536,64.605,8
9,36,7283,-23.68317870979484,-46.53611412753189,65.519,8
0,0,depot,-23.649502,-46.742499,0.804,9
0,56,19045,-23.64727198251485,-46.73499289508913,3.011,9
0,39,17731,-23.642104867450474,-46.714073120664764,4.494,9
0,42,6379,-23.63074293282939,-46.70644903926945,6.339,9
0,52,5030,-23.627797994171623,-46.7242709089676,7.866,9
0,21,18849,-23.627407295314175,-46.73926123120198,9.434,9
0,62,15328,-23.631055348088143,-46.75412209631252,10.076,9
0,28,14693,-23.63260424617697,-46.76020040743839,11.457,9
0,2,9062,-23.62025395169951,-46.76164305883207,13.676,9
0,12,700,-23.614283149027735,-46.74086838403668,15.338,9
0,47,9527,-23.60338376019967,-46.72970093443071,16.747,9
0,16,12987,-23.598333685685798,-46.71701511427991,18.109,9
0,13,15934,-23.59614572125607,-46.73015821624435,19.236,9
0,60,14151,-23.598482186332568,-46.74092051655277,20.47,9
0,58,6482,-23.608349214265107,-46.73536441534424,21.398,9
0,11,12401,-23.61195654870451,-46.74357120024242,23.103,9
0,26,8974,-23.621372314040066,-46.756786759160924,23.464,9
0,67,17955,-23.624298054632632,-46.75525539543194,24.461,9
0,73,2324,-23.628838767413026,-46.76369883371714,24.755,9
0,38,14328,-23.630306400917526,-46.76610037642102,25.409,9
0,49,14951,-23.63260424617697,-46.76020040743839,26.873,9
0,72,593,-23.634374047904927,-46.74595157555298,27.884,9
0,66,15870,-23.637621216486806,-46.73668171051419,28.46,9
0,4,12625,-23.634475148991257,-46.73218860192456,29.374,9
0,9,2482,-23.626508106304968,-46.72998537010217,30.996,9
0,17,13027,-23.612496531833948,-46.725576459201335,32.255,9
0,69,1041,-23.62067640182417,-46.71702295475792,33.972,9
0,33,2180,-23.63580786663679,-46.71368647000955,34.73,9
0,43,10864,-23.633015143776273,-46.70689364807545,35.142,9
0,14,10238,-23.63204026824975,-46.70299880398464,35.724,9
0,55,16802,-23.627026666108858,-46.70136409686078,37.258,9
0,63,6357,-23.640331499999995,-46.69735049999999,37.562,9
0,40,18765,-23.64082697668647,-46.700283445213636,38.319,9
0,15,17102,-23.646811996240743,-46.70382197111212,38.937,9
0,37,583,-23.650708913959267,-46.699498319548475,39.705,9
0,34,11295,-23.657594422076475,-46.698906303457704,40.445,9
0,19,3641,-23.658943725229378,-46.69178753635527,40.958,9
0,41,3784,-23.66302825867045,-46.68945333243405,41.901,9
0,10,18455,-23.67077393186277,-46.68567454056232,43.628,9
0,68,12974,-23.66897161033521,-46.702511553580614,44.79,9
0,70,9515,-23.65970695475793,-46.70779649423597,46.353,9
0,46,193,-23.66984032584106,-46.71843917124474,48.153,9
0,50,4339,-23.68571324562872,-46.714992188879656,51.768,9
