vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
1,20,8375,-23.688325184012353,-46.65470962587277,29.883,4
1,44,17017,-23.685158005382213,-46.65799433276703,30.792,4
1,23,9300,-23.683802773241403,-46.66679422162269,32.164,4
1,2,1294,-23.690463604480296,-46.67813381554541,34.251,4
1,12,4536,-23.694264199001665,-46.69820775229382,36.1,4
1,21,8804,-23.71037572883606,-46.69372522654224,36.833,4
1,32,12017,-23.7169581397296,-46.69411154232787,36.833,4
1,34,13884,-23.7169581397296,-46.69411154232787,37.676,4
1,10,3874,-23.724505225921877,-46.69493934677728,38.419,4
1,33,13250,-23.72156783666111,-46.70149392630851,38.925,4
1,8,3064,-23.725319902546367,-46.70430370958066,39.72,4
1,29,11020,-23.731787210658425,-46.700979196924195,40.58,4
1,47,18921,-23.730506151537902,-46.70931505433089,41.266,4
1,43,16857,-23.735142305690715,-46.71375343505108,42.309,4
1,27,10387,-23.74398649570083,-46.71031943672453,45.325,4
1,22,9057,-23.76908468803739,-46.72153755467713,46.037,4
1,24,9669,-23.771799152230386,-46.715191274006024,50.979,4
1,36,14669,-23.811270516792643,-46.7375025756247,57.455,4
1,1,510,-23.867518787956595,-46.7540388702464,62.517,4
1,13,4593,-23.85384263849616,-46.70656146801889,72.226,4
1,25,9788,-23.77101143394142,-46.67637483680533,73.262,4
1,9,3584,-23.765979551109357,-46.68494030682672,74.459,4
1,37,14672,-23.75540171490374,-46.682765544405335,76.113,4
1,16,6804,-23.75266495485217,-46.66679225872885,77.192,4
1,30,11897,-23.742963020543556,-46.66639273175025,78.754,4
1,40,16247,-23.735277932555256,-46.679239087079466,79.953,4
1,41,16404,-23.72470026061802,-46.68148760073805,81.678,4
1,14,5210,-23.738481942552912,-46.689273183045735,82.427,4
1,35,14291,-23.742789663887148,-46.6949266239252,82.427,4
1,17,7390,-23.742789663887148,-46.6949266239252,83.805,4
8,0,depot,-23.447913,-46.479886,1.249,5
8,9,3541,-23.44540927477061,-46.46795443505108,4.805,5
8,40,17364,-23.432678999999993,-46.43597834624039,6.124,5
8,35,14240,-23.4218025,-46.4308065,8.857,5
8,34,13634,-23.398125134471115,-46.437990399042064,12.573,5
8,10,3708,-23.408533299194993,-46.40339203673558,14.079,5
8,29,9692,-23.409685707744245,-46.388688516792655,17.13,5
8,41,18918,-23.435049027756925,-46.400103869005655,17.13,5
8,30,9873,-23.435049027756925,-46.400103869005655,21.408,5
8,25,8698,-23.462343241185316,-46.42965720302671,25.603,5
8,12,5053,-23.488594654804253,-46.45920586865417,29.36,5
8,43,19143,-23.503585725229385,-46.492217033513185,30.714,5
8,38,16225,-23.49585216902305,-46.50247661157595,36.963,5
8,28,9399,-23.44238589286745,-46.52134273841536,38.447,5
8,32,13182,-23.453135036355256,-46.52996767262971,40.212,5
8,2,140,-23.468955108517527,-46.53135229961335,40.871,5
8,14,5246,-23.470041394396652,-46.53770237066476,43.637,5
8,39,16933,-23.445403061890495,-46.54143494679429,43.637,5
8,21,6755,-23.445403061890495,-46.54143494679429,46.954,5
